area_en,project_name_en,project_name_ar,area_ar,area_id,nearest_landmark_en,nearest_landmark_ar,nearest_metro_en,nearest_metro_ar,nearest_mall_en,nearest_mall_ar,master_project_en,master_project_ar,latitude,longitude
JUMEIRAH HEIGHTS,JUMEIRAH HEIGHTS CLUSTERS,جميرا هايتس كلسترس,جميرا هايتس,0,Sports City Swimming Academy,أكاديمية المدينة الرياضية للسباحة,Jumeirah Lakes Towers,أبراج بحيرات جميرا,Marina Mall,مارينا مول,,,,
JUMEIRAH ISLANDS,TOWNHOUSES AT JUMEIRAH ISLANDS,تاون هاوسز في جزر الجميرا,جزر جميرا,0,Sports City Swimming Academy,أكاديمية المدينة الرياضية للسباحة,Marina Mall Metro Station,محطة مترو مارينا مول,Marina Mall,مارينا مول,,,,
JUMEIRAH LAKES TOWERS,Verde by Sobha,فيردي باي شوبا,ابراج بحيرات جميرا,0,Sports City Swimming Academy,أكاديمية المدينة الرياضية للسباحة,Marina Mall Metro Station,محطة مترو مارينا مول,Marina Mall,مارينا مول,,,,
JUMEIRAH LIVING,Asayel at Madinat Jumeirah Living,أصايل - مدينة جميرا ليفينج,جميرا ليفنغ,0,Burj Al Arab,برج العرب,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
JUMEIRAH PARK,JUMEIRAH PARK PACKAGE 1A,جميرا بارك 1A,جميرا بارك,0,Sports City Swimming Academy,أكاديمية المدينة الرياضية للسباحة,Harbour Tower,برج هاربور,Ibn-e-Battuta Mall,ابن بطوطة مول,,,,
JUMEIRAH VILLAGE CIRCLE,THE VYBE,ذا فايب,جميرا فييلج سركل,0,Sports City Swimming Academy,أكاديمية المدينة الرياضية للسباحة,Dubai Internet City,مدينة دبي للإنترنت,Mall of the Emirates,مول الإمارات,Elysee Heights,اليسي هايتس,,
JUMEIRAH VILLAGE TRIANGLE,555 PARK VIEWS,555 بارك فيوز,جميرا فيليج ترايجنل,0,Sports City Swimming Academy,أكاديمية المدينة الرياضية للسباحة,Harbour Tower,برج هاربور,Ibn-e-Battuta Mall,ابن بطوطة مول,JANNAT,جنات ,,
Jabal Ali,,,جبل على,0,,,,,,,,,,
Jabal Ali First,California by SD ,SD كاليفورنيا بواسطة ,جبل علي الأولى,0,Expo 2020 Site,موقع إكسبو 2020,ENERGY Metro Station,محطة مترو الطاقة,Ibn-e-Battuta Mall,ابن بطوطة مول,,,,
Jabal Ali Industrial First,,,جبل على الصناعية الأولى,0,Expo 2020 Site,موقع إكسبو 2020,DANUBE Metro Station,محطة مترو الدانوب,Ibn-e-Battuta Mall,ابن بطوطة مول,,,,
Jumeirah First,Port De La Mer - Le Ciel,بورت دي لامير- لوسييل,جميرا الاولى,0,Burj Khalifa,برج خليفة,Trade Centre Metro Station,محطة مترو المركز التجاري,Dubai Mall,مول دبي,,,,
Jumeirah Second,THE RINGS,الخواتم,جميرا الثانيه,0,Burj Khalifa,برج خليفة,Business Bay Metro Station,محطة مترو الخليج التجاري,Dubai Mall,مول دبي,,,,
Jumeirah Third,,,جميرا الثالثه,0,Burj Khalifa,برج خليفة,Noor Bank Metro Station,محطة مترو نور بنك,Dubai Mall,مول دبي,,,,
LA MER,Port De La Mer - La Sirene,بورت دي لامير- لاسيرين ,لا مير,0,Burj Khalifa,برج خليفة,Trade Centre Metro Station,محطة مترو المركز التجاري,Dubai Mall,مول دبي,,,,
LIVING LEGENDS,MAYA townhouses,مايا تاون هاوس,الاساطير,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,,,,,,
LIWAN,Symbolic Alpha,سيمبوليك ألفا,ليوان,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,,,,,,,,
LIWAN 2,Amana Gardens,امانة حدائق,ليوان 2,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,,,,,,,,
Lehbab First,,,لهباب الاولى,0,,,,,,,,,,
Lehbab Second,,,لهباب الثانية,0,,,,,,,,,,
MAJAN,Samana Barari Views, سمانا براري فيوز,ماجان,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,,,,,,,,
MARSA AL ARAB,Jumeirah Living Marsa Al Arab,Jumeirah Living Marsa Al Arab,مرسى العرب,0,Burj Al Arab,برج العرب,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
MBR DISTRICT 1,"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 13",مدينة  محمد بن راشد ال مكتوم- ديستركت ون ، المرحلة الثالثة ، ريسيدنز 13,مدينة محمد بن راشد الحي 1,0,Downtown Dubai,وسط مدينة دبي,Business Bay Metro Station,محطة مترو الخليج التجاري,Dubai Mall,مول دبي,,,,
MBR DISTRICT 7,MAG EYE Phase 1,ماج آي المرحلة 1,مدينة محمد بن راشد الحي 7,0,Downtown Dubai,وسط مدينة دبي,Business Bay Metro Station,محطة مترو الخليج التجاري,Dubai Mall,مول دبي,,,,
MEDYAN RACE COURSE VILLAS,,,فلل ميدان ريس كورس ,0,Downtown Dubai,وسط مدينة دبي,Business Bay Metro Station,محطة مترو الخليج التجاري,Dubai Mall,مول دبي,,,,
MEYDAN AVENUE,Azizi Park Avenue ,عزيزي بارك أفينيو,ميدان افينيو,0,Downtown Dubai,وسط مدينة دبي,Business Bay Metro Station,محطة مترو الخليج التجاري,Dubai Mall,مول دبي,,,,
MEYDAN ONE,Azizi Riviera 23,عزيزي ريفيرا 23,ميدان وان,0,Downtown Dubai,وسط مدينة دبي,Buj Khalifa Dubai Mall Metro Station,محطة مترو بوج خليفة دبي مول,Dubai Mall,مول دبي," Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 22",مدينة محمد بن راشد آل مكتوم الحي الأول ، المرحلة الثالثة ، ريسيدنز 22,,
MILLENNIUM,MILLENNIUM ESTATES,عقارات الألفية,ميلينيوم,0,Downtown Dubai,وسط مدينة دبي,Business Bay Metro Station,محطة مترو الخليج التجاري,Dubai Mall,مول دبي,,,,
MINA RASHID,Seagate,سي جيت,ميناء راشد,0,Burj Khalifa,برج خليفة,Al Ghubaiba Metro Station,محطة مترو الغبيبة,Dubai Mall,مول دبي,,,,
MIRA,REEM - MIRA OASIS COMMUNITY,ريم - ميرا أوسيس كوميونتي,ميرا,0,Dubai Cycling Course,دورة دبي للدراجات,,,,,,,,
MOTOR CITY,The Community Motor City ,كوميونيتي موتور سيتي,موتور ستي,0,Motor City,موتور سيتي,Dubai Internet City,مدينة دبي للإنترنت,Mall of the Emirates,مول الإمارات,,,,
MUDON,MUDON,مدن,مدن,0,Dubai Cycling Course,دورة دبي للدراجات,,,,,,,,
Madinat Al Mataar,AZIZI VENICE 8,عزيزى فينيس 8,مدينة المطار,0,,,,,,,,,,
Madinat Dubai Almelaheyah,Clearpoint,كليربوينت,مدينة دبي الملاحية,0,,,,,,,,,,
Madinat Hind 3,,,مدينة هند 3,0,,,,,,,,,,
Madinat Hind 4,DAMAC HILLS (2) - CAMELIA,داماك هيلز (2) - كاميليا,مدينة هند 4,0,,,,,,,,,,
Madinat Latifa,,,مدينة لطيفة,0,,,,,,,,,,
Mankhool,,,منخول,0,Burj Khalifa,برج خليفة,ADCB Metro Station,محطة مترو بنك أبوظبي التجاري,Dubai Mall,مول دبي,,,,
Marsa Dubai,DAMAC BAY 2,داماك باي 2,مرسى دبي,0,Burj Al Arab,برج العرب,Jumeirah Beach Resdency,مساكن شاطئ الجميرا,Marina Mall,مارينا مول,,,,
Me'Aisem First,Jumeirah Luxury,جميرا لاكشري,معيصم الأول,0,,,,,,,,,,
Me'Aisem Second,The Oasis - Palmiera,ذا اويسيس - بالمييرا,معيصم الثانية,0,,,,,,,,,,
Mena Jabal Ali,,,ميناء جبل علي,0,Jabel Ali,جبل علي,UAE Exchange Metro Station,محطة مترو الإمارات العربية المتحدة للصرافة,,,,,,
Mirdif,MIRDIF TULIP,مرف توليب,مردف,0,Dubai International Airport,مطار دبي الدولي,Rashidiya Metro Station,محطة مترو الراشدية,City Centre Mirdif,سيتي سنتر مردف,,,,
Mugatrah,,,مقطرة,0,,,,,,,,,,
Muhaisanah First,,,محيصنه الاولى,0,Dubai International Airport,مطار دبي الدولي,Rashidiya Metro Station,محطة مترو الراشدية,City Centre Mirdif,سيتي سنتر مردف,,,,
Muhaisanah Fourth,,,محيصنه الرابعه,0,Dubai International Airport,مطار دبي الدولي,Al Qusais Metro Station,محطة مترو القصيص,City Centre Mirdif,سيتي سنتر مردف,,,,
Muhaisanah Second,,,محيصنه الثانيه,0,Dubai International Airport,مطار دبي الدولي,Etisalat Metro Station,محطة مترو اتصالات,City Centre Mirdif,سيتي سنتر مردف,,,,
Muhaisanah Third,,,محيصنه الثالثه,0,Dubai International Airport,مطار دبي الدولي,Al Qusais Metro Station,محطة مترو القصيص,City Centre Mirdif,سيتي سنتر مردف,,,,
Muragab,,,مرقب,0,,,,,,,,,,
Mushrif,,,مشرف,0,Dubai International Airport,مطار دبي الدولي,Etisalat Metro Station,محطة مترو اتصالات,City Centre Mirdif,سيتي سنتر مردف,,,,
NAD AL SHEBA GARDENS,MAG 22,ماج 22,ند الشبا جاردن,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,Business Bay Metro Station,محطة مترو الخليج التجاري,Dubai Mall,مول دبي,,,,
Nad Al Hamar,,,ند الحمر,0,Dubai International Airport,مطار دبي الدولي,Rashidiya Metro Station,محطة مترو الراشدية,City Centre Mirdif,سيتي سنتر مردف,,,,
Nad Al Shiba First,MAG 22,ماج 22,ند الشبا الاولى,0,Downtown Dubai,وسط مدينة دبي,Business Bay Metro Station,محطة مترو الخليج التجاري,Dubai Mall,مول دبي,,,,
Nad Al Shiba Fourth,,,ند الشبا الرابعه,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,Creek Metro Station,محطة مترو الخور,City Centre Mirdif,سيتي سنتر مردف,,,,
Nad Al Shiba Second,,,ند الشبا الثانيه,0,Downtown Dubai,وسط مدينة دبي,Creek Metro Station,محطة مترو الخور,City Centre Mirdif,سيتي سنتر مردف,,,,
Nad Al Shiba Third,,,ند الشبا الثالثه,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,Creek Metro Station,محطة مترو الخور,City Centre Mirdif,سيتي سنتر مردف,,,,
Nad Shamma,,,ند شما,0,Dubai International Airport,مطار دبي الدولي,Rashidiya Metro Station,محطة مترو الراشدية,City Centre Mirdif,سيتي سنتر مردف,,,,
Nadd Hessa,,,ند حصة,0,,,,,,,,,,
Naif,,,نايف,0,Dubai International Airport,مطار دبي الدولي,Salah Al Din Metro Station,محطة مترو صلاح الدين,Dubai Mall,مول دبي,,,,
Nazwah,,,نزوه,0,,,,,,,,,,
Oud Al Muteena First,,,عود المطينة الأولى,0,Dubai International Airport,مطار دبي الدولي,Etisalat Metro Station,محطة مترو اتصالات,City Centre Mirdif,سيتي سنتر مردف,,,,
Oud Metha,,,عود ميثا,0,Dubai International Airport,مطار دبي الدولي,Oud Metha Metro Station,محطة مترو عود ميثاء,Dubai Mall,مول دبي,,,,
PALM DEIRA,BEACH WALK RESIDENCES 3 BY IMTIAZ,بيتش ووك ريزيدنسز3 من امتياز,نخلة ديرة,0,Dubai International Airport,مطار دبي الدولي,Palm Deira Metro Stations,محطات مترو نخلة ديرة,Dubai Mall,مول دبي,,,,
PALM JABAL ALI,,,نخلة جبل علي,0,Jabel Ali,جبل علي,,,,,,,,
PALM JUMEIRAH,OCEAN HOUSE,أوشن هاوس,نخلة جميرا,0,Burj Al Arab,برج العرب,Al Sufouh,الصفوح,Mall of the Emirates,مول الإمارات,Palace Beach Residence,بالاس بيتش ريزيدنس,,
PALMAROSA,PALMAROSA ,بالماروسا,بالما روزا,0,Motor City,موتور سيتي,,,,,,,,
PEARL JUMEIRA,NB RESIDENCES,ان بي ريزيدنسس,لؤلؤوة جميرا,0,Burj Khalifa,برج خليفة,Trade Centre Metro Station,محطة مترو المركز التجاري,Dubai Mall,مول دبي,,,,
POLO TOWNHOUSES IGO,THE POLO TOWN HOUSES,ذا بولو تاون هاوسز,بولو تاون هاوسس,0,Downtown Dubai,وسط مدينة دبي,Business Bay Metro Station,محطة مترو الخليج التجاري,Dubai Mall,مول دبي,,,,
Palm Deira,Beach Residences Dubai Islands,بيتش ريزيدنسز جزر دبي,نخلة ديرة,0,,,,,,,,,,
Palm Jabal Ali,Palm Jebel Ali - Frond N,N نخلة جبل علي - السعفة,نخلة جبل علي,0,,,,,,,,,,
Palm Jumeirah,ORLA Infinity by OMNIYAT, أورلا إنفِنِتي من أمنيات,نخلة جميرا,0,,,,,,,,,,
Port Saeed,,,بور سعيد,0,Dubai International Airport,مطار دبي الدولي,Deira City Centre,ديرة سيتي سنتر,Dubai Mall,مول دبي,,,,
REMRAAM,Remraam - Al Ramth,رمرام - الرمث,رمرام,0,Motor City,موتور سيتي,,,,,,,,
RUKAN,Rukan 3,روكان 3,ركان,0,,,,,,,,,,
Ras Al Khor Industrial First,SOBHA ONE, شوبا ون	,راس الخور الصناعيه الاولى,0,Downtown Dubai,وسط مدينة دبي,Creek Metro Station,محطة مترو الخور,Dubai Mall,مول دبي,,,,
Ras Al Khor Industrial Second,,,راس الخور الصناعيه الثانيه,0,Downtown Dubai,وسط مدينة دبي,Creek Metro Station,محطة مترو الخور,Dubai Mall,مول دبي,,,,
Ras Al Khor Industrial Third,,,راس الخور الصناعيه الثالثه,0,Dubai International Airport,مطار دبي الدولي,Rashidiya Metro Station,محطة مترو الراشدية,City Centre Mirdif,سيتي سنتر مردف,,,,
Rega Al Buteen,,,رقه البطين,0,Dubai International Airport,مطار دبي الدولي,Al Rigga Metro Station,محطة مترو الرقة,Dubai Mall,مول دبي,,,,
SAMA AL JADAF,,,سما الجداف,0,Dubai International Airport,مطار دبي الدولي,Al Jadaf Metro Station,محطة مترو الجداف,Dubai Mall,مول دبي,,,,
SERENA,Serena - Casa Viva ,سيرينا - كاسا فيفا,سيرينا,0,Hamdan Sports Complex,مجمع حمدان الرياضي,,,,,,,,
SILICON OASIS,TRIA BY DEYAAR,تريا من ديار,واحة سيليكون,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,,,City Centre Mirdif,سيتي سنتر مردف,,,,
SOBHA HEARTLAND,Sobha Hartland - The Crest,شوبا هارتلاند - ذا كرست,سوبها هارتلاند,0,Downtown Dubai,وسط مدينة دبي,Buj Khalifa Dubai Mall Metro Station,محطة مترو بوج خليفة دبي مول,Dubai Mall,مول دبي,,,,
SUFOUH GARDENS,Biltmore Sufouh,بلتمور صفوح,الصفوح جاردن,0,Burj Al Arab,برج العرب,Dubai Internet City,مدينة دبي للإنترنت,Mall of the Emirates,مول الإمارات,,,,
SUSTAINABLE CITY,THE SUSTAINABLE CITY,المدينة المستدامة,المدينة المستدامة,0,Dubai Cycling Course,دورة دبي للدراجات,,,,,,,,
Saih Aldahal,,,سيح الدحل,0,,,,,,,,,,
Saih Shuaib 1,,,سيح شعيب 1,0,,,,,,,,,,
Saih Shuaib 2,,,سيح شعيب 2,0,Dubai Parks and Resorts,دبي باركس اند ريزورتس,,,,,,,,
Saih Shuaib 4,,,سيح شعيب 4,0,,,,,,,,,,
TECOM SITE A,DAMAC CASA,داماك كازا,تيكوم سيت ايه,0,Burj Al Arab,برج العرب,Palm Jumeirah,نخلة جميرا,Marina Mall,مارينا مول,,,,
THE FIELD,THE FIELDS AT D11 - MBRMC,الحقول في D11 - إم بي أر إم سي ,ذا فيلد,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,,,,,,,,
THE GREENS,THE ONYX,أونيكس,الروضة,0,Burj Al Arab,برج العرب,Dubai Internet City,مدينة دبي للإنترنت,Marina Mall,مارينا مول,,,,
THE LAKES,The Hills,التلال,البحيرات,0,Burj Al Arab,برج العرب,Damac Properties,عقارات داماك,Marina Mall,مارينا مول,,,,
THE VALLEY,The Valley-Nara,ذا فالي - نارا,ذا فالي,0,,,,,,,,,,
THE VILLA,THE VILLA,الفيلا,ذا فيلا,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,,,,,,,,
THE WORLD,ZAYA ZUHA ISLAND, جزيرة زايا زوها,جزر العالم,0,Burj Khalifa,برج خليفة,Business Bay Metro Station,محطة مترو الخليج التجاري,Mall of the Emirates,مول الإمارات,,,,
TILAL AL GHAF,Elan,إيلان,تلال الغاف,0,Sports City Swimming Academy,أكاديمية المدينة الرياضية للسباحة,Dubai Internet City,مدينة دبي للإنترنت,,,,,,
TOWN SQUARE,Symphony,سيمفوني ,تاون سكوير,0,Dubai Cycling Course,دورة دبي للدراجات,,,,,,,,
Trade Center First,LATIFA TOWER,لطيفة تاور,المركز التجارى الاولى,0,Burj Khalifa,برج خليفة,Emirates Towers Metro Station,محطة مترو أبراج الإمارات,Dubai Mall,مول دبي,,,,
Trade Center Second,,,المركز التجارى الثانيه,0,Burj Khalifa,برج خليفة,Trade Centre Metro Station,محطة مترو المركز التجاري,Dubai Mall,مول دبي,,,,
Um Al Sheif,,,ام الشيف,0,Burj Al Arab,برج العرب,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
Um Hurair First,,,ام هرير الاولى,0,Dubai International Airport,مطار دبي الدولي,Burjuman Metro Station,محطة مترو برجمان,Dubai Mall,مول دبي,,,,
Um Ramool,,,ام رمول,0,Dubai International Airport,مطار دبي الدولي,Emirates Metro Station,محطة مترو الامارات,City Centre Mirdif,سيتي سنتر مردف,,,,
Um Suqaim First,,,ام سقيم الاولى,0,Burj Al Arab,برج العرب,Noor Bank Metro Station,محطة مترو نور بنك,Mall of the Emirates,مول الإمارات,,,,
Um Suqaim Second,,,ام سقيم الثانيه,0,Burj Al Arab,برج العرب,Noor Bank Metro Station,محطة مترو نور بنك,Mall of the Emirates,مول الإمارات,,,,
Um Suqaim Third,ELARA,إلارا,ام سقيم الثالثه,0,Burj Al Arab,برج العرب,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
VILLANOVA,La Rosa 6 ,لاروزا 6 ,فيلانوفا,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,,,,,,,,
Wadi Al Amardi,,,وادي العمردي,0,,,Rashidiya Metro Station,محطة مترو الراشدية,City Centre Mirdif,سيتي سنتر مردف,,,,
Wadi Al Safa 2,ALBERO BY ORO24,ألبيرو من أورو24,وادي الصفا 2,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,,,,,,,,
Wadi Al Safa 3,ALBARARI IXORA VILLAS,البراري أكسورا فيلاز,وادي الصفا 3,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,Creek Metro Station,محطة مترو الخور,,,,,,
Wadi Al Safa 4,California Village,كاليفورنيا فيليج,وادي الصفا 4,0,,,,,,,,,,
Wadi Al Safa 5,Arabian Ranches lll - June,المرابع العربية ااا - جون ,وادي الصفا 5,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,,,,,,,,
Wadi Al Safa 7,Rukan 3,روكان 3,وادي الصفا 7,0,Hamdan Sports Complex,مجمع حمدان الرياضي,,,,,,,,
Warsan First,Olivz Residence,اوليفز رزيدنس,ورسان الاولى,0,Dubai International Airport,مطار دبي الدولي,Rashidiya Metro Station,محطة مترو الراشدية,City Centre Mirdif,سيتي سنتر مردف,,,,
Warsan Fourth,,,ورسان الرابعة,0,,,,,,,,,,
Zaabeel First,One Za'abeel,ون زعبيل ,زعبيل الاولى,0,Burj Khalifa,برج خليفة,Al Jafiliya Metro Station,محطة مترو الجافلية,Dubai Mall,مول دبي,,,,
Zaabeel Second,Downtown Views II,II داون تاون فيوز,زعبيل الثانيه,0,Burj Khalifa,برج خليفة,Financial Centre,المركز المالي,Dubai Mall,مول دبي,,,,
